File,Class,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Kandroid/app/src/androidTest/java/nl/patrickkostjens/kandroid/ExampleInstrumentedTest.java",nl.patrickkostjens.kandroid.ExampleInstrumentedTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Kandroid/app/src/test/java/nl/patrickkostjens/kandroid/ExampleUnitTest.java",nl.patrickkostjens.kandroid.ExampleUnitTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Kandroid/app/src/main/java/nl/patrickkostjens/kandroid/CompactHtmlRenderer.java",nl.patrickkostjens.kandroid.CompactHtmlRenderer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Kandroid/app/src/main/java/nl/patrickkostjens/kandroid/ArrayPagerAdapter.java",nl.patrickkostjens.kandroid.ArrayPagerAdapter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Kandroid/app/src/main/java/nl/patrickkostjens/kandroid/DashProjectsAdapter.java",nl.patrickkostjens.kandroid.DashProjectsAdapter,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Kandroid/app/src/main/java/nl/patrickkostjens/kandroid/Utils.java",nl.patrickkostjens.kandroid.Utils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Kandroid/app/src/main/java/nl/patrickkostjens/kandroid/ProjectTaskAdapter.java",nl.patrickkostjens.kandroid.ProjectTaskAdapter,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Kandroid/app/src/main/java/nl/patrickkostjens/kandroid/DownloadIntentService.java",nl.patrickkostjens.kandroid.DownloadIntentService,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Kandroid/app/src/main/java/nl/patrickkostjens/kandroid/KandroidApplication.java",nl.patrickkostjens.kandroid.KandroidApplication,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/Kandroid/app/src/main/java/nl/patrickkostjens/kandroid/Constants.java",nl.patrickkostjens.kandroid.Constants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
