DAAP;CollectionOfBitmaps;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-anuto;file:/src/main/java/ch/bfh/anuto/game/Sprite.java;e3c9f7d573ff3c8e911240a607f573855f5b2004;cbd3619c8e7736cae90bcd05ca8674d347d8e8de;support for synchronized sprite animations	;True;True;prob_removal;True_Positive;Exist;real_true_positive
DAAP;CollectionOfBitmaps;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-anuto;file:/src/main/java/ch/bfh/anuto/game/Sprite.java;e3c9f7d573ff3c8e911240a607f573855f5b2004;cbd3619c8e7736cae90bcd05ca8674d347d8e8de;support for synchronized sprite animations	;True;True;prob_removal;True_Positive;real_false_positive,,,,,,,,,,,,,
DAAP;CollectionOfBitmaps;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-anuto;file:/src/main/java/ch/bfh/anuto/game/objects/Sprite.java;c23595e24480543e4394ae5ac94cb963c6f26e25;b387a3e36b2d6e537a31dadd0d56e8c0f4d8d11c;updated package name	;True;True;prob_removal;True_Positive;Exist;real_true_positive
DAAP;CollectionOfBitmaps;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-anuto;file:/src/main/java/ch/bfh/anuto/game/objects/Sprite.java;c23595e24480543e4394ae5ac94cb963c6f26e25;b387a3e36b2d6e537a31dadd0d56e8c0f4d8d11c;updated package name	;True;True;prob_removal;True_Positive;real_false_positive,,,,,,,,,,,,,
DAAP;CollectionOfBitmaps;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-anuto;file:/src/main/java/ch/logixisland/anuto/game/objects/Sprite.java;7d621b18f58ed449d00730f63dce5be01b8b2055;0a71771533d7c27c9b2d5e2b930312cd4d40e371;reorganize project structure	;True;True;prob_removal;True_Positive;Exist;real_true_positive
DAAP;CollectionOfBitmaps;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-anuto;file:/src/main/java/ch/logixisland/anuto/game/objects/Sprite.java;7d621b18f58ed449d00730f63dce5be01b8b2055;0a71771533d7c27c9b2d5e2b930312cd4d40e371;reorganize project structure	;True;True;prob_removal;True_Positive;real_false_positive,,,,,,,,,,,,,
DAAP;CollectionOfBitmaps;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-anuto;file:/src/main/java/ch/logixisland/anuto/view/faq/EnemiesAdapter.java;a09e6d152781c9357991ebaf604f9ad31095ebb4;e67de91e03650bf8798515e366cf9e6b1e20e5c0;rename package	;True;True;prob_removal;True_Positive;Exist;real_true_positive
DAAP;CollectionOfBitmaps;/Users/rar9993/repos/research/fdroid_apps/native_apps/android-anuto;file:/src/main/java/ch/logixisland/anuto/view/faq/EnemiesAdapter.java;a09e6d152781c9357991ebaf604f9ad31095ebb4;e67de91e03650bf8798515e366cf9e6b1e20e5c0;rename package	;True;True;prob_removal;True_Positive;real_false_positive,,,,,,,,,,,,,
DAAP;CollectionOfViews;/Users/rar9993/repos/research/fdroid_apps/native_apps/AAT;file:/src/main/java/ch/bailu/aat/activities/MainActivity.java;370a32e1eef2aab95f18910daa3d29a7b486d047;842d904ad2747d734f98cc54c75bc7f608f4c93b;UI improvements	;True;True;prob_removal;True_Positive;Exist;real_true_positive
DAAP;CollectionOfViews;/Users/rar9993/repos/research/fdroid_apps/native_apps/AAT;file:/src/main/java/ch/bailu/aat/activities/MainActivity.java;370a32e1eef2aab95f18910daa3d29a7b486d047;842d904ad2747d734f98cc54c75bc7f608f4c93b;UI improvements	;True;True;prob_removal;True_Positive;real_false_positive,,,,,,,,,,,,,
