Projissue;;;;;;Line;Col;Manual Classif;Reason;LLM classic;;
/Users/rar9993/AndroidStudioProjects/game2048;LeakingInnerClass; PERFORMANCE; None; aDoctor;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java; None; None;FALSE;Inner classes will be destroyed when the activity is destroyed;FALSE;;
/Users/rar9993/AndroidStudioProjects/game2048;MemberIgnoringMethod; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java; None; None;TRUE;They can be static;;;
/Users/rar9993/AndroidStudioProjects/game2048;SlowForLoop; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java; None; None;FALSE;Requires index access;;;
/Users/rar9993/AndroidStudioProjects/game2048;MemberIgnoringMethod; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/MainActivity.java; None; None;TRUE;They can be static;;;
/Users/rar9993/AndroidStudioProjects/game2048;NoLowMemoryResolver; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;RedundantFieldInitializer; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;26;17;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;RedundantFieldInitializer; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;27;21;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;RedundantFieldInitializer; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;28;21;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;AvoidInstantiatingObjectsInLoops; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;186;34;TRUE;It can be pre calculated;;;
/Users/rar9993/AndroidStudioProjects/game2048;DroppedData; PERFORMANCE; None; DAAP; None;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;DrawAllocation; Performance; Warning; Lint; Avoid object allocations during draw/layout operations (preallocate and reuse instead);/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;177; None;TRUE;It can be pre calculated;;;
/Users/rar9993/AndroidStudioProjects/game2048;DrawAllocation; Performance; Warning; Lint; Avoid object allocations during draw/layout operations (preallocate and reuse instead);/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;186; None;FALSE;It can be pre calculated;;;
/Users/rar9993/AndroidStudioProjects/game2048;Overdraw; Performance; Warning; Lint;Possible overdraw: Root element paints background `#FAF8EF` with a theme that also paints a background (inferred theme is `@style/Theme.Game2048`);/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/res/layout/activity_main.xml;9; None;TRUE;Set by theme already;;;
/Users/rar9993/AndroidStudioProjects/game2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` member of class `GestureListener` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;90; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `isGameOver` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;271; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `isMoving` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;277; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `moveRight` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;284; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `moveLeft` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;287; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `moveDown` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;295; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `moveUp` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;298; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `addNewTile` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;304; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `gameListener` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;305; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `gameListener` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;306; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `checkWinCondition` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;308; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `gameListener` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;309; None;TRUE;;;;
