File,Class,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
"/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/androidTest/java/com/selbie/wrek/test/JsonHandlerUnitTest.java",com.selbie.wrek.test.JsonHandlerUnitTest,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/androidTest/java/com/selbie/wrek/test/MetaStreamFilterUnitTest.java",com.selbie.wrek.test.ChunkDetails,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/androidTest/java/com/selbie/wrek/test/IcecastMetadataUnitTest.java",com.selbie.wrek.test.IcecastMetadataUnitTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/test/java/com/selbie/wrek/ExampleUnitTest.java",com.selbie.wrek.ExampleUnitTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/ScheduleItem.java",com.selbie.wrek.ScheduleItem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/JsonHandler.java",com.selbie.wrek.JsonHandler,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/ContentDownloader.java",com.selbie.wrek.ContentDownloader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/ScheduleListFragment.java",com.selbie.wrek.ScheduleListFragment,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/AboutActivity.java",com.selbie.wrek.AboutActivity,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/MediaPlayerService.java",com.selbie.wrek.MediaPlayerService,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
